        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V),               Re{V[2]} (V),               Im{V[2]} (V)
 5.00000000e-01,        +7.071067811865e+00,        +7.936464744355e+00,        +6.011128893356e-02,        +1.235528715914e-02,        -6.914314157760e+00
 6.00000000e-01,        +7.071067811865e+00,        +7.880363960037e+00,        -2.013000792464e-01,        -2.143640394174e+00,        -6.551249770848e+00
 7.00000000e-01,        +7.071067811865e+00,        +7.689785113429e+00,        -3.870024699569e-01,        -4.101867864254e+00,        -5.522602366435e+00
 8.00000000e-01,        +7.071067811865e+00,        +7.434174734507e+00,        -4.348693114036e-01,        -5.657299061132e+00,        -3.896167461913e+00
 9.00000000e-01,        +7.071067811865e+00,        +7.206766388844e+00,        -3.313493103036e-01,        -6.615666619047e+00,        -1.805728082211e+00
 1.00000000e+00,        +7.071067811865e+00,        +7.095747693498e+00,        -1.147908845481e-01,        -6.817983219368e+00,        +5.441665423537e-01
 1.10000000e+00,        +7.071067811865e+00,        +7.162744975589e+00,        +1.358943331697e-01,        -6.169262370875e+00,        +2.883325058135e+00
 1.20000000e+00,        +7.071067811865e+00,        +7.435262126740e+00,        +3.157079510373e-01,        -4.664989597469e+00,        +4.894095587168e+00
 1.30000000e+00,        +7.071067811865e+00,        +7.904547174815e+00,        +2.901578721987e-01,        -2.416376969024e+00,        +6.226565619908e+00
 1.40000000e+00,        +7.071067811865e+00,        +8.489267980107e+00,        -1.227338688507e-01,        +3.023761529295e-01,        +6.523512046698e+00
 1.50000000e+00,        +7.071067811865e+00,        +8.927879924369e+00,        -1.122019602455e+00,        +2.966570914874e+00,        +5.502297035197e+00
 1.60000000e+00,        +7.071067811865e+00,        +8.677129316549e+00,        -2.692558652223e+00,        +4.755844052232e+00,        +3.221439178758e+00
 1.70000000e+00,        +7.071067811865e+00,        +7.206993313639e+00,        -4.202951314151e+00,        +4.924651708340e+00,        +4.736229599959e-01
 1.80000000e+00,        +7.071067811865e+00,        +4.799260605901e+00,        -4.627749692499e+00,        +3.651961396600e+00,        -1.498867371941e+00
 1.90000000e+00,        +7.071067811865e+00,        +2.519323229177e+00,        -3.648595682912e+00,        +2.003411891655e+00,        -2.177554545864e+00
 2.00000000e+00,        +7.071067811865e+00,        +1.100209832926e+00,        -1.853735919069e+00,        +7.726703686774e-01,        -1.999464457354e+00
 2.10000000e+00,        +7.071067811865e+00,        +5.752418523981e-01,        +8.548416461905e-02,        +8.188399856858e-02,        -1.535824531899e+00
 2.20000000e+00,        +7.071067811865e+00,        +6.837304807805e-01,        +1.817983398563e+00,        -2.341568174577e-01,        -1.083938330068e+00
 2.30000000e+00,        +7.071067811865e+00,        +1.170210910294e+00,        +3.237925810695e+00,        -3.442969286981e-01,        -7.322135174649e-01
 2.40000000e+00,        +7.071067811865e+00,        +1.857606021693e+00,        +4.350168014445e+00,        -3.555396690495e-01,        -4.821308297834e-01
 2.50000000e+00,        +7.071067811865e+00,        +2.636377498979e+00,        +5.195999635054e+00,        -3.251480851254e-01,        -3.115831538961e-01
