        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A),               Re{I[3]} (A),               Im{I[3]} (A)
 1.00000000e+00,        +1.414213562373e-01,        +1.300437840361e-01,        +3.814290058318e-02,        -3.937274678466e-02,        -8.484769766868e-02,        -3.978759166067e-02,        -8.475463845044e-02
 1.10000000e+00,        +1.414213562373e-01,        +1.360880814517e-01,        +3.661898866824e-02,        -5.584561511749e-02,        -7.538705145444e-02,        -5.620003227105e-02,        -7.516328118104e-02
 1.20000000e+00,        +1.414213562373e-01,        +1.414841073152e-01,        +3.373075166113e-02,        -7.020877924884e-02,        -6.268126190851e-02,        -7.048591375179e-02,        -6.236102352640e-02
 1.30000000e+00,        +1.414213562373e-01,        +1.458621518855e-01,        +2.966434740487e-02,        -8.179585075405e-02,        -4.716142121200e-02,        -8.198495675341e-02,        -4.676329148613e-02
 1.40000000e+00,        +1.414213562373e-01,        +1.489085627831e-01,        +2.471932799701e-02,        -9.002167431599e-02,        -2.940135398365e-02,        -9.008630440244e-02,        -2.894861986739e-02
 1.50000000e+00,        +1.414213562373e-01,        +1.504053522291e-01,        +1.928873530829e-02,        -9.439530802642e-02,        -1.009751187853e-02,        -9.430926100747e-02,        -9.682580276407e-03
 1.60000000e+00,        +1.414213562373e-01,        +1.502598769557e-01,        +1.382398539886e-02,        -9.453035806981e-02,        +9.885763134653e-03,        -9.440136873496e-02,        +1.017879397329e-02
 1.70000000e+00,        +1.414213562373e-01,        +1.485207365211e-01,        +8.790221764627e-03,        -9.031481690150e-02,        +2.951944066531e-02,        -9.024004678860e-02,        +2.977302635156e-02
 1.80000000e+00,        +1.414213562373e-01,        +1.453750005788e-01,        +4.616672763517e-03,        -8.193475879999e-02,        +4.781869790963e-02,        -8.187501248861e-02,        +4.811887744613e-02
 1.90000000e+00,        +1.414213562373e-01,        +1.411255986250e-01,        +1.653198920909e-03,        -6.977703345426e-02,        +6.387702535869e-02,        -6.965942229812e-02,        +6.423150247202e-02
 2.00000000e+00,        +1.414213562373e-01,        +1.361554256944e-01,        +1.402303292016e-04,        -5.443244309923e-02,        +7.688425458096e-02,        -5.420981379126e-02,        +7.725563961407e-02
