        f (GHz),          Re{Φ_elec[1]} (C),          Im{Φ_elec[1]} (C)
 4.50000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 4.60000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 4.70000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 4.80000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 4.90000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 5.10000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 5.20000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 5.30000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 5.40000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 5.50000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
