        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 4.50000000e+00,        +1.414213562373e-01,        +2.604903907605e-01,        +1.240717065986e-02
 4.58000000e+00,        +1.414213562373e-01,        +2.479501558640e-01,        -1.427321911972e-02
 4.66000000e+00,        +1.414213562373e-01,        +2.079857178334e-01,        -6.259008500816e-02
 4.74000000e+00,        +1.414213562373e-01,        +9.688048924234e-02,        +2.591416181452e-03
 4.82000000e+00,        +1.414213562373e-01,        +2.062955559393e-01,        +8.620857904208e-02
 4.90000000e+00,        +1.414213562373e-01,        +2.508298126162e-01,        +4.297262742281e-02
 4.98000000e+00,        +1.414213562373e-01,        +2.607620850634e-01,        +1.209356346124e-02
 5.06000000e+00,        +1.414213562373e-01,        +2.515874355491e-01,        -2.875955274743e-02
 5.14000000e+00,        +1.414213562373e-01,        +1.872731932352e-01,        -7.028202864069e-02
 5.22000000e+00,        +1.414213562373e-01,        +1.067031128113e-01,        +2.098638468727e-02
 5.30000000e+00,        +1.414213562373e-01,        +2.103685137465e-01,        +8.118111560436e-02
 5.38000000e+00,        +1.414213562373e-01,        +2.460464590980e-01,        +3.537958935053e-02
 5.46000000e+00,        +1.414213562373e-01,        +2.598295156333e-01,        +1.391632170240e-02
 5.54000000e+00,        +1.414213562373e-01,        +2.520879381147e-01,        -2.780238153102e-02
 5.62000000e+00,        +1.414213562373e-01,        +2.020402282652e-01,        -6.986163050007e-02
 5.70000000e+00,        +1.414213562373e-01,        +9.038806077456e-02,        +1.823956900284e-02
 5.78000000e+00,        +1.414213562373e-01,        +2.086447928886e-01,        +8.704994092423e-02
 5.86000000e+00,        +1.414213562373e-01,        +2.539753398144e-01,        +4.431776358982e-02
 5.94000000e+00,        +1.414213562373e-01,        +2.608447201700e-01,        +3.349077293442e-03
 6.02000000e+00,        +1.414213562373e-01,        +2.357284326808e-01,        -2.629825800240e-02
 6.10000000e+00,        +1.414213562373e-01,        +2.053346591670e-01,        -6.005495186066e-02
 6.18000000e+00,        +1.414213562373e-01,        +1.082775688316e-01,        +8.227940871884e-03
 6.26000000e+00,        +1.414213562373e-01,        +2.048471123065e-01,        +7.934494131980e-02
 6.34000000e+00,        +1.414213562373e-01,        +2.399148213953e-01,        +3.882077805064e-02
 6.42000000e+00,        +1.414213562373e-01,        +2.590333180451e-01,        +1.760806802593e-02
 6.50000000e+00,        +1.414213562373e-01,        +2.549378038220e-01,        -2.373801210943e-02
 6.58000000e+00,        +1.414213562373e-01,        +2.126097054237e-01,        -6.599981329948e-02
 6.66000000e+00,        +1.414213562373e-01,        +1.059456528652e-01,        -1.348560012048e-02
 6.74000000e+00,        +1.414213562373e-01,        +1.845586762227e-01,        +9.081978192189e-02
 6.82000000e+00,        +1.414213562373e-01,        +2.504516721349e-01,        +5.404076011033e-02
 6.90000000e+00,        +1.414213562373e-01,        +2.636059520317e-01,        +1.299923394705e-02
 6.98000000e+00,        +1.414213562373e-01,        +2.564108342090e-01,        -2.686128154109e-02
 7.06000000e+00,        +1.414213562373e-01,        +2.114690141253e-01,        -7.035674180108e-02
 7.14000000e+00,        +1.414213562373e-01,        +1.064860437681e-01,        -1.458470438135e-02
 7.22000000e+00,        +1.414213562373e-01,        +1.883392376893e-01,        +8.890025274230e-02
 7.30000000e+00,        +1.414213562373e-01,        +2.497558358577e-01,        +5.217186625597e-02
 7.38000000e+00,        +1.414213562373e-01,        +2.625713431567e-01,        +1.079048188471e-02
 7.46000000e+00,        +1.414213562373e-01,        +2.489101291267e-01,        -2.891691921485e-02
 7.54000000e+00,        +1.414213562373e-01,        +2.170379607047e-01,        -4.891693673010e-02
 7.62000000e+00,        +1.414213562373e-01,        +1.260709988357e-01,        -3.690105945929e-02
 7.70000000e+00,        +1.414213562373e-01,        +1.761931553276e-01,        +8.281573843856e-02
 7.78000000e+00,        +1.414213562373e-01,        +2.446705765434e-01,        +5.315857376101e-02
 7.86000000e+00,        +1.414213562373e-01,        +2.535585323061e-01,        +9.510603194785e-03
 7.94000000e+00,        +1.414213562373e-01,        +2.508811061234e-01,        -6.484409795825e-03
