        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 4.50000000e+00,        +7.071067811865e+00,        +1.302451953802e+01,        +6.203585329928e-01
 4.58000000e+00,        +7.071067811865e+00,        +1.239750779320e+01,        -7.136609559859e-01
 4.66000000e+00,        +7.071067811865e+00,        +1.039928589167e+01,        -3.129504250408e+00
 4.74000000e+00,        +7.071067811865e+00,        +4.844024462117e+00,        +1.295708090726e-01
 4.82000000e+00,        +7.071067811865e+00,        +1.031477779697e+01,        +4.310428952104e+00
 4.90000000e+00,        +7.071067811865e+00,        +1.254149063081e+01,        +2.148631371141e+00
 4.98000000e+00,        +7.071067811865e+00,        +1.303810425317e+01,        +6.046781730620e-01
 5.06000000e+00,        +7.071067811865e+00,        +1.257937177746e+01,        -1.437977637371e+00
 5.14000000e+00,        +7.071067811865e+00,        +9.363659661758e+00,        -3.514101432035e+00
 5.22000000e+00,        +7.071067811865e+00,        +5.335155640567e+00,        +1.049319234363e+00
 5.30000000e+00,        +7.071067811865e+00,        +1.051842568732e+01,        +4.059055780218e+00
 5.38000000e+00,        +7.071067811865e+00,        +1.230232295490e+01,        +1.768979467527e+00
 5.46000000e+00,        +7.071067811865e+00,        +1.299147578167e+01,        +6.958160851199e-01
 5.54000000e+00,        +7.071067811865e+00,        +1.260439690573e+01,        -1.390119076551e+00
 5.62000000e+00,        +7.071067811865e+00,        +1.010201141326e+01,        -3.493081525003e+00
 5.70000000e+00,        +7.071067811865e+00,        +4.519403038728e+00,        +9.119784501421e-01
 5.78000000e+00,        +7.071067811865e+00,        +1.043223964443e+01,        +4.352497046212e+00
 5.86000000e+00,        +7.071067811865e+00,        +1.269876699072e+01,        +2.215888179491e+00
 5.94000000e+00,        +7.071067811865e+00,        +1.304223600850e+01,        +1.674538646721e-01
 6.02000000e+00,        +7.071067811865e+00,        +1.178642163404e+01,        -1.314912900120e+00
 6.10000000e+00,        +7.071067811865e+00,        +1.026673295835e+01,        -3.002747593033e+00
 6.18000000e+00,        +7.071067811865e+00,        +5.413878441580e+00,        +4.113970435942e-01
 6.26000000e+00,        +7.071067811865e+00,        +1.024235561533e+01,        +3.967247065990e+00
 6.34000000e+00,        +7.071067811865e+00,        +1.199574106976e+01,        +1.941038902532e+00
 6.42000000e+00,        +7.071067811865e+00,        +1.295166590225e+01,        +8.804034012963e-01
 6.50000000e+00,        +7.071067811865e+00,        +1.274689019110e+01,        -1.186900605471e+00
 6.58000000e+00,        +7.071067811865e+00,        +1.063048527119e+01,        -3.299990664974e+00
 6.66000000e+00,        +7.071067811865e+00,        +5.297282643261e+00,        -6.742800060241e-01
 6.74000000e+00,        +7.071067811865e+00,        +9.227933811135e+00,        +4.540989096095e+00
 6.82000000e+00,        +7.071067811865e+00,        +1.252258360675e+01,        +2.702038005517e+00
 6.90000000e+00,        +7.071067811865e+00,        +1.318029760159e+01,        +6.499616973525e-01
 6.98000000e+00,        +7.071067811865e+00,        +1.282054171045e+01,        -1.343064077054e+00
 7.06000000e+00,        +7.071067811865e+00,        +1.057345070627e+01,        -3.517837090054e+00
 7.14000000e+00,        +7.071067811865e+00,        +5.324302188406e+00,        -7.292352190677e-01
 7.22000000e+00,        +7.071067811865e+00,        +9.416961884467e+00,        +4.445012637115e+00
 7.30000000e+00,        +7.071067811865e+00,        +1.248779179288e+01,        +2.608593312799e+00
 7.38000000e+00,        +7.071067811865e+00,        +1.312856715784e+01,        +5.395240942354e-01
 7.46000000e+00,        +7.071067811865e+00,        +1.244550645633e+01,        -1.445845960743e+00
 7.54000000e+00,        +7.071067811865e+00,        +1.085189803524e+01,        -2.445846836505e+00
 7.62000000e+00,        +7.071067811865e+00,        +6.303549941785e+00,        -1.845052972964e+00
 7.70000000e+00,        +7.071067811865e+00,        +8.809657766380e+00,        +4.140786921928e+00
 7.78000000e+00,        +7.071067811865e+00,        +1.223352882717e+01,        +2.657928688051e+00
 7.86000000e+00,        +7.071067811865e+00,        +1.267792661530e+01,        +4.755301597392e-01
 7.94000000e+00,        +7.071067811865e+00,        +1.254405530617e+01,        -3.242204897912e-01
